,Survey_dat,Name,Survey_num,Easting,Northing,Elevation,E_disp,N_disp,V_disp,Net_H_disp,net_H_V_di,net_disp_y,cum_net_di,latitude,longitude,geometry
18,42666,Peg 21,6,401807.03525166353,5598827.4192382395,311.887846,1.226624,-2.961959,-0.361515,3.205901987,3.2262208,11.32279415,12.03660925,-39.7548,175.854,POINT Z (401807.0352516635 5598827.41923824 311.887846)
19,42562,Peg 21,5,401805.6790650843,5598830.321754413,312.249361,0.360768,-1.013086502,-0.02286575,1.075405881,1.075648945,3.384585041,8.810388451,-39.7548,175.854,POINT Z (401805.6790650843 5598830.321754413 312.249361)
20,42446,Peg 21,4,401805.27344740723,5598831.317011962,312.2722268,-1.095793,-0.445286999,-0.8203455,1.182811401,1.439447654,5.201964295,7.734739506,-39.7548,175.854,POINT Z (401805.2734474072 5598831.317011962 312.2722268)
21,42345,Peg 21,3,401806.34782293555,5598831.810197561,313.0925723,2.101866,-1.944778,0.6600265,2.863564588,2.938645459,15.77361165,6.295291852,-39.7548,175.854,POINT Z (401806.3478229356 5598831.810197561 313.0925723)
22,42277,Peg 21,2,401804.1624286149,5598833.658267618,312.4325458,1.257,-3.049000002,-0.625,3.297946332,3.356646393,13.76602173,3.356646393,-39.7548,175.854,POINT Z (401804.1624286149 5598833.658267618 312.4325458)
23,42188,Peg 21,1,401802.7714102328,5598836.646260328,313.0575458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7547,175.854,POINT Z (401802.7714102328 5598836.646260328 313.0575458)
24,43881,Peg 19,12,401960.03200038255,5598958.888254524,357.654439,-1.002749,-1.389702001,-0.699269,1.713702777,1.850879343,1.35384962,7.865972008,-39.7536,175.856,POINT Z (401960.0320003825 5598958.888254524 357.654439)
25,43382,Peg 19,11,401960.97036180506,5598960.320718076,358.353708,-0.680349,-0.896802,-0.299597,1.125668063,1.164854906,2.169245105,6.015092665,-39.7536,175.856,POINT Z (401960.9703618051 5598960.320718076 358.353708)
26,43186,Peg 19,10,401961.61023879575,5598961.246655054,358.653305,-0.424988,-0.543653,-0.461253,0.690053175,0.830016695,1.814108346,4.850237759,-39.7536,175.856,POINT Z (401961.6102387958 5598961.246655054 358.653305)
27,43019,Peg 19,9,401962.01032433624,5598961.807741229,359.114558,-0.420213,-0.538354999,-0.417638,0.682938556,0.800516439,2.809504811,4.020221064,-39.7536,175.856,POINT Z (401962.0103243362 5598961.807741229 359.114558)
