,Survey date,Name,Survey number,Easting,Northing,Elevation (NZVD2016),E disp,N disp,V disp,Net H disp,net H&V disp,net disp/yr,cum net disp,Cumulative E disp,Cumulative N disp,geometry,Elevation
9,2016-03-17,Peg 14,4,401694.12772774685,5599145.213034157,383.52947875,0.09386100014671683,-0.3176919985562563,-0.06809350000003178,0.33126740451666886,0.3381934624404568,1.2221842949580863,1.2707433208890866,0.28772700019180775,-1.2104699993506074,POINT Z (401694.1277277468 5599145.213034157 383.52947875),383.52947875
8,2016-07-11,Peg 14,5,401694.2607005397,5599144.871255615,383.520534,0.11765399971045554,-0.3475885009393096,-0.008944750000011936,0.3669608012214715,0.3670698001547758,1.1550041125559756,1.6378131210438625,0.4053809999022633,-1.558058500289917,POINT Z (401694.2607005397 5599144.871255615 383.520534),383.520534
7,2016-10-23,Peg 14,6,401694.4581057897,5599143.918208948,383.289425,0.15475500002503395,-0.9615020006895065,-0.23110900000000356,0.973876381971897,1.000922862783978,3.5128542780399226,2.63873598382784,0.5601359999272972,-2.5195605009794235,POINT Z (401694.4581057897 5599143.918208948 383.289425),383.289425
6,2016-12-14,Peg 14,7,401694.54952849227,5599143.530166129,383.158536,0.0740529999602586,-0.3919789995998144,-0.13088899999996784,0.39891275102506485,0.4198372461459047,2.946934516216446,3.058573229973745,0.6341889998875558,-2.911539500579238,POINT Z (401694.5495284923 5599143.530166129 383.158536),383.158536
5,2017-03-20,Peg 14,8,401694.6539246414,5599143.175622635,383.050903,0.08851799997501075,-0.3590719997882843,-0.10763300000002118,0.36982176430212116,0.38516619794646856,1.4644339817756358,3.4437394279202134,0.7227069998625666,-3.2706115003675222,POINT Z (401694.6539246414 5599143.175622635 383.050903),383.050903
4,2017-06-29,Peg 14,9,401694.8613652532,5599142.4146284815,382.920937,0.17336600017733872,-0.7699710000306368,-0.12996600000002445,0.7892471798528443,0.7998764104920674,2.8906424735604417,4.243615838412281,0.8960730000399053,-4.040582500398159,POINT Z (401694.8613652532 5599142.414628481 382.920937),382.920937
3,2017-10-11,Peg 14,10,401695.2071394578,5599141.178244845,382.340354,0.2904099998995662,-1.2513589998707175,-0.5805829999999901,1.2846156291276813,1.4097212258060445,4.947579302107752,5.653337064218325,1.1864829999394715,-5.2919415002688766,POINT Z (401695.2071394578 5599141.178244845 382.340354),382.340354
2,2018-03-27,Peg 14,11,401695.58747161645,5599139.968594205,381.821342,0.32614900008775294,-1.22618000023067,-0.5190119999999752,1.268814629181082,1.3708625092867268,2.996196502333265,7.024199573505053,1.5126320000272244,-6.5181215004995465,POINT Z (401695.5874716165 5599139.968594205 381.821342),381.821342
1,2018-10-09,Peg 14,12,401696.1176251961,5599138.220821373,381.602004,0.4518740000203252,-1.7707900004461408,-0.21933799999999337,1.82753586492151,1.8406511064887907,3.4277431319816767,8.864850679993843,1.9645060000475496,-8.288911500945687,POINT Z (401696.1176251961 5599138.220821373 381.602004),381.602004
0,2020-02-20,Peg 14,13,401696.8835337397,5599135.8921089275,381.389906,0.6615869998931885,-2.362040000036359,-0.21209800000002588,2.4529431954693592,2.462095831157561,1.8009318203857914,11.326946511151405,2.626092999940738,-10.650951500982046,POINT Z (401696.8835337397 5599135.892108927 381.389906),381.389906
10,2015-07-03,Peg 11,1,401697.6487895199,5599282.156985761,390.49354575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT Z (401697.6487895199 5599282.156985761 390.49354575),390.49354575
9,2015-12-07,Peg 11,2,401697.6798788146,5599281.816466811,390.42657225000005,0.015865999972447753,-0.34177800081670284,-0.0669734999999605,0.34214606792624086,0.34863932867597214,0.8105309233549671,0.34863932867597214,0.015865999972447753,-0.34177800081670284,POINT Z (401697.6798788146 5599281.816466811 390.42657225),390.42657225000005
8,2016-03-17,Peg 11,3,401697.72149441106,5599281.699619315,390.44332075,0.0363800001796335,-0.11866199877113104,0.016748499999948763,0.12411355431793111,0.1252385189056399,0.4525946475302827,0.473877847581612,0.05224600015208125,-0.4604399995878339,POINT Z (401697.7214944111 5599281.699619315 390.44332075),390.44332075
7,2016-07-11,Peg 11,4,401697.7151640759,5599281.506988628,390.34157600000003,-0.014933000318706036,-0.19227450154721737,-0.10174474999996619,0.19285351550788324,0.21804695044027783,0.6860960078508742,0.6919247980218899,0.037312999833375216,-0.6527145011350513,POINT Z (401697.7151640759 5599281.506988628 390.341576),390.34157600000003
6,2016-10-23,Peg 11,5,401697.8048003686,5599281.055152639,390.193595,0.06941800005733967,-0.45566799957305193,-0.14798100000001568,0.4609253568278357,0.4840976770527538,1.6989966550409148,1.1760224750746437,0.10673099989071488,-1.1083825007081032,POINT Z (401697.8048003686 5599281.055152639 390.193595),390.193595
5,2017-03-20,Peg 11,6,401697.8280097072,5599280.793094578,390.158495,0.011493999976664782,-0.2629949999973178,-0.03509999999999991,0.2632460485155528,0.26557577460877857,0.6549672819743526,1.4415982496834223,0.11822499986737967,-1.371377500705421,POINT Z (401697.8280097072 5599280.793094578 390.158495),390.158495
4,2017-06-29,Peg 11,7,401697.885333385,5599280.516634966,390.163777,0.0449520000256598,-0.27891500014811754,0.005281999999965592,0.2825141759521659,0.282563548848628,1.0211454983143486,1.7241617985320503,0.16317699989303946,-1.6502925008535385,POINT Z (401697.885333385 5599280.516634966 390.163777),390.163777
3,2017-10-11,Peg 11,8,401697.9956789357,5599280.024742826,389.98803000000004,0.08832999994046986,-0.4966339999809861,-0.17574699999994436,0.5044279124182142,0.5341671338032489,1.8747211907517867,2.2583289323352993,0.2515069998335093,-2.1469265008345246,POINT Z (401697.9956789357 5599280.024742826 389.98803),389.98803000000004
2,2018-03-27,Peg 11,9,401698.0751515104,5599279.515708014,389.797578,0.05670300009660423,-0.5123910000547767,-0.19045200000005025,0.5155189299696856,0.5495741364557731,1.201165028780582,2.8079030687910724,0.30820999993011355,-2.6593175008893013,POINT Z (401698.0751515104 5599279.515708014 389.797578),389.797578
1,2018-10-09,Peg 11,10,401698.19094535435,5599278.7751285015,389.732238,0.08266699989326298,-0.7454700004309416,-0.06533999999999196,0.7500395685654596,0.7528802494513054,1.4020474033149308,3.560783318242378,0.39087699982337654,-3.404787501320243,POINT Z (401698.1909453543 5599278.775128501 389.732238),389.732238
0,2020-02-20,Peg 11,11,401698.36435737193,5599277.682909886,389.428943,0.1245550001040101,-1.0995489992201328,-0.30329499999999143,1.1065811988900343,1.1473926123005587,0.8392751572939958,4.708175930542937,0.5154319999273866,-4.504336500540376,POINT Z (401698.3643573719 5599277.682909886 389.428943),389.428943
12,2015-07-03,Peg 05,1,401864.95948031195,5599635.121948451,414.71554575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT Z (401864.959480312 5599635.121948451 414.71554575),414.71554575
11,2015-09-30,Peg 05,2,401864.94658445835,5599635.052346003,414.70754575,-0.015999999828636646,-0.06900000106543303,-0.007999999999981355,0.07083078526704424,0.07128113454165719,0.2923327427832008,0.07128113454165719,-0.015999999828636646,-0.06900000106543303,POINT Z (401864.9465844583 5599635.052346003 414.70754575),414.70754575
10,2015-12-07,Peg 05,3,401864.947305316,5599635.0556014385,414.72557225,0.0008659998420625925,0.0032220007851719856,0.01802650000001904,0.0033363520177135575,0.018332647027551364,0.09840317889788601,0.08961378156920854,-0.015133999986574054,-0.06577800028026104,POINT Z (401864.947305316 5599635.055601439 414.72557225),414.72557225
9,2016-03-17,Peg 05,4,401864.980386207,5599635.047512045,414.70200375,0.03270700015127659,-0.009563999250531197,-0.023568500000010317,0.034076648024120096,0.04143298363393896,0.14973305966720515,0.1310467652031475,0.017573000164702535,-0.07534199953079224,POINT Z (401864.980386207 5599635.047512045 414.70200375),414.70200375
8,2016-07-11,Peg 05,5,401864.9342618955,5599634.993845879,414.657175,-0.04850400029681623,-0.05158550105988979,-0.044828750000021955,0.07080749935136418,0.08380524321877425,0.26369753254183276,0.21485200842192176,-0.030931000132113695,-0.12692750059068203,POINT Z (401864.9342618955 5599634.993845879 414.657175),414.657175
7,2016-10-23,Peg 05,6,401864.9421845043,5599634.898664657,414.652216,0.003667999990284443,-0.0954990005120635,-0.004958999999985281,0.09556941625191519,0.09569798850410433,0.33586313273075075,0.3105499969260261,-0.027263000141829252,-0.22242650110274553,POINT Z (401864.9421845043 5599634.898664657 414.652216),414.652216
6,2016-12-14,Peg 05,7,401864.9254584389,5599634.834161055,414.651637,-0.019601000007241964,-0.06373200006783009,-0.0005790000000160944,0.06667808510995044,0.06668059893949523,0.4680465117868415,0.3772305958655213,-0.04686400014907122,-0.2861585011705756,POINT Z (401864.9254584389 5599634.834161055 414.651637),414.651637
5,2017-03-20,Peg 05,8,401864.9558958976,5599634.826394706,414.655279,0.030079000163823366,-0.009122999384999275,0.003642000000013468,0.03143207547448917,0.03164236926391704,0.12030692480551791,0.4088729651294384,-0.01678499998524785,-0.2952815005555749,POINT Z (401864.9558958976 5599634.826394706 414.655279),414.655279
4,2017-06-29,Peg 05,9,401864.9096764586,5599634.7725067055,414.694308,-0.04860900016501546,-0.05180300027132034,0.03902899999997089,0.07103791758035204,0.08105336868477842,0.29291563930637743,0.4899263338142168,-0.06539400015026331,-0.34708450082689524,POINT Z (401864.9096764586 5599634.772506705 414.694308),414.694308
3,2017-10-11,Peg 05,10,401864.90475549834,5599634.684773608,414.63833900000003,-0.008838000008836389,-0.08748000022023916,-0.055968999999947755,0.0879253130940643,0.10422758580953215,0.36579873865845414,0.594153919623749,-0.0742320001590997,-0.4345645010471344,POINT Z (401864.9047554983 5599634.684773608 414.638339),414.63833900000003
2,2018-03-27,Peg 05,11,401864.88946650876,5599634.611392831,414.461383,-0.018561000004410744,-0.0726699996739626,-0.17695600000001832,0.07500293043460007,0.1921948633803306,0.42006661756778846,0.7863487830040796,-0.09279300016351044,-0.507234500721097,POINT Z (401864.8894665088 5599634.611392831 414.461383),414.461383
1,2018-10-09,Peg 05,12,401864.88489365985,5599634.446626058,414.583059,-0.01193099981173873,-0.16449999995529652,0.12167599999997947,0.16493210342986675,0.2049576729907794,0.38168138082466574,0.991306455994859,-0.10472399997524917,-0.6717345006763935,POINT Z (401864.8848936599 5599634.446626058 414.583059),414.583059
0,2019-12-18,Peg 05,13,401864.8875935464,5599634.267509701,414.539135,-0.005302000092342496,-0.17916900012642145,-0.04392400000000407,0.17924743181223213,0.1845506965234246,0.15485288328977007,1.1758571525182835,-0.11002600006759167,-0.850903500802815,POINT Z (401864.8875935464 5599634.267509701 414.539135),414.539135
